datetime,open,high,low,close,volume
2015-04-07 00:00,127.64,128.12,125.98,115.96,35012300.00
2015-04-08 00:00,125.85,126.40,124.97,115.58,37329200.00
2015-04-09 00:00,125.85,126.58,124.66,116.47,32484000.00
2015-04-10 00:00,125.95,127.21,125.26,116.96,40188000.00
2015-04-13 00:00,128.37,128.57,126.61,116.73,36365100.00
2015-04-14 00:00,127.00,127.29,125.91,116.23,25524600.00
2015-04-15 00:00,126.41,127.13,126.01,116.67,28970400.00
2015-04-16 00:00,126.28,127.10,126.11,116.11,28369000.00
2015-04-17 00:00,125.55,126.14,124.46,114.80,51957000.00
2015-04-20 00:00,125.57,128.12,125.17,117.43,47054300.00
2015-04-21 00:00,128.10,128.20,126.67,116.79,32435100.00
2015-04-22 00:00,126.99,128.87,126.32,118.36,37654500.00
2015-04-23 00:00,128.30,130.42,128.14,119.33,45770900.00
2015-04-24 00:00,130.49,130.63,129.23,119.89,44525900.00
2015-04-27 00:00,132.31,133.13,131.15,122.07,96954200.00
2015-04-28 00:00,134.46,134.54,129.57,120.15,118924000.00
2015-04-29 00:00,130.16,131.59,128.30,118.38,63386100.00
2015-04-30 00:00,128.64,128.64,124.58,115.17,83195400.00
2015-05-01 00:00,126.10,130.13,125.30,118.67,58512600.00
2015-05-04 00:00,129.50,130.57,128.26,118.44,50988300.00
2015-05-05 00:00,128.15,128.45,125.78,115.77,49271400.00
2015-05-06 00:00,126.56,126.75,123.36,115.04,72141000.00
2015-05-07 00:00,124.77,126.08,124.02,115.75,43940900.00
2015-05-08 00:00,126.68,127.62,126.11,117.93,55550400.00
2015-05-11 00:00,127.39,127.56,125.63,116.73,42035800.00
2015-05-12 00:00,125.60,126.88,124.82,116.32,48160000.00
2015-05-13 00:00,126.15,127.19,125.87,116.45,34694200.00
2015-05-14 00:00,127.41,128.95,127.16,119.16,45203500.00
2015-05-15 00:00,129.07,129.49,128.21,119.00,38208000.00
2015-05-18 00:00,128.38,130.72,128.36,120.31,50882900.00
2015-05-19 00:00,130.69,130.88,129.64,120.20,44633200.00
2015-05-20 00:00,130.00,130.98,129.34,120.19,36454900.00
2015-05-21 00:00,130.07,131.63,129.83,121.42,39730400.00
2015-05-22 00:00,131.60,132.97,131.40,122.48,45596000.00
2015-05-26 00:00,132.60,132.91,129.12,119.78,70697600.00
2015-05-27 00:00,130.34,132.26,130.05,122.02,45833200.00
2015-05-28 00:00,131.86,131.95,131.10,121.78,30733300.00
2015-05-29 00:00,131.23,131.45,129.90,120.39,50884500.00
2015-06-01 00:00,130.28,131.39,130.05,120.63,32112800.00
2015-06-02 00:00,129.86,130.66,129.32,120.10,33667600.00
2015-06-03 00:00,130.66,130.94,129.90,120.24,30983500.00
2015-06-04 00:00,129.58,130.58,128.91,119.54,38450100.00
2015-06-05 00:00,129.50,129.69,128.36,118.89,35626800.00
2015-06-08 00:00,128.90,129.21,126.83,118.10,52674800.00
2015-06-09 00:00,126.70,128.08,125.62,117.75,56075400.00
2015-06-10 00:00,127.92,129.34,127.85,119.10,39087300.00
2015-06-11 00:00,129.18,130.18,128.48,118.83,35390900.00
2015-06-12 00:00,128.19,128.33,127.11,117.52,36886200.00
2015-06-15 00:00,126.10,127.24,125.71,117.29,43988900.00
2015-06-16 00:00,127.03,127.85,126.37,117.92,31494100.00
2015-06-17 00:00,127.72,127.88,126.74,117.64,32918100.00
2015-06-18 00:00,127.23,128.31,127.22,118.17,35407200.00
2015-06-19 00:00,127.71,127.82,126.40,116.99,54716900.00
2015-06-22 00:00,127.49,128.06,127.08,117.92,34039300.00
2015-06-23 00:00,127.48,127.61,126.88,117.39,30268900.00
2015-06-24 00:00,127.21,129.80,127.12,118.39,55280900.00
