datetime,open,high,low,close,volume
2015-04-14 00:00,53.93,54.47,53.57,46.25,29289600.00
2015-04-15 00:00,54.37,54.91,54.19,46.78,16899900.00
2015-04-16 00:00,54.53,55.07,54.34,46.78,15643200.00
2015-04-17 00:00,54.41,54.56,53.98,46.13,17569700.00
2015-04-20 00:00,54.34,54.67,54.17,46.39,13327200.00
2015-04-21 00:00,54.55,54.85,54.19,46.32,10954200.00
2015-04-22 00:00,54.31,54.91,54.16,46.66,13563800.00
2015-04-23 00:00,54.41,55.12,54.41,46.82,14657800.00
2015-04-24 00:00,54.76,54.92,54.61,46.68,15268100.00
2015-04-27 00:00,54.79,55.50,54.71,46.91,19852400.00
2015-04-28 00:00,54.91,55.43,54.87,47.29,13028300.00
2015-04-29 00:00,55.17,55.76,55.08,47.33,18144500.00
2015-04-30 00:00,55.65,55.65,54.78,47.02,16577800.00
2015-05-01 00:00,55.26,55.58,54.96,47.10,12069400.00
2015-05-04 00:00,55.27,55.77,55.26,47.56,9981800.00
2015-05-05 00:00,55.73,56.20,55.60,47.55,17068100.00
2015-05-06 00:00,55.43,55.60,54.45,47.19,15670700.00
2015-05-07 00:00,54.96,55.19,54.61,47.09,14723100.00
2015-05-08 00:00,55.17,56.05,55.09,48.16,17477500.00
2015-05-11 00:00,55.92,55.96,55.44,47.70,12922100.00
2015-05-12 00:00,55.31,55.64,55.00,47.66,11705900.00
2015-05-13 00:00,55.47,55.83,55.37,47.77,11448100.00
2015-05-14 00:00,55.95,56.13,55.72,48.15,11025400.00
2015-05-15 00:00,56.04,56.04,55.30,47.70,13323200.00
2015-05-18 00:00,55.58,55.98,55.55,47.90,10637300.00
2015-05-19 00:00,55.90,56.70,55.89,48.46,17194100.00
2015-05-20 00:00,56.32,56.37,55.93,48.19,13292000.00
2015-05-21 00:00,55.91,56.18,55.83,48.13,13466700.00
2015-05-22 00:00,56.04,56.23,55.99,48.12,8568800.00
2015-05-26 00:00,55.97,56.00,55.46,47.82,15859100.00
2015-05-27 00:00,55.92,56.31,55.71,48.18,12526100.00
2015-05-28 00:00,56.11,56.30,55.89,48.30,10348700.00
2015-05-29 00:00,56.25,56.26,55.68,48.08,17291500.00
2015-06-01 00:00,56.24,56.49,55.80,48.15,15746200.00
2015-06-02 00:00,56.01,56.45,55.74,48.27,13148700.00
2015-06-03 00:00,56.35,57.20,56.35,48.90,16197700.00
